timestamp,pm25,pm10,o3,hour,day,month,pm25_change
2025-07-25 02:34:00,0.0,0.0,0.0,2.0,25.0,7.0,0.0
2025-07-27 18:04:00,0.0,0.0,0.0,18.0,27.0,7.0,0.0
2025-07-27 18:04:00,0.0,0.0,0.0,18.0,27.0,7.0,0.0
2025-07-27 18:38:00,0.0,0.0,0.0,18.0,27.0,7.0,0.0
2025-07-27 18:38:00,0.0,0.0,0.0,18.0,27.0,7.0,0.0
2025-07-27 18:59:00,0.0,0.0,0.0,18.0,27.0,7.0,0.0
2025-07-27 18:59:00,0.0,0.0,0.0,18.0,27.0,7.0,0.0
2025-07-27 21:22:00,0.0,0.0,0.0,21.0,27.0,7.0,0.0
2025-07-27 21:22:00,0.0,0.0,0.0,21.0,27.0,7.0,0.0
2025-07-28 12:54:00,0.0,0.0,0.0,12.0,28.0,7.0,0.0
2025-07-28 12:54:00,0.0,0.0,0.0,12.0,28.0,7.0,0.0
2025-07-28 15:28:00,0.0,0.0,0.0,15.0,28.0,7.0,0.0
2025-07-28 15:28:00,0.0,0.0,0.0,15.0,28.0,7.0,0.0
2025-07-28 18:37:00,0.0,0.0,0.0,18.0,28.0,7.0,0.0
2025-07-28 18:37:00,0.0,0.0,0.0,18.0,28.0,7.0,0.0
2025-07-28 21:23:00,0.0,0.0,0.0,21.0,28.0,7.0,0.0
2025-07-28 21:23:00,0.0,0.0,0.0,21.0,28.0,7.0,0.0
2025-07-28 02:09:00,0.0,0.0,0.0,2.0,28.0,7.0,0.0
2025-07-28 02:09:00,0.0,0.0,0.0,2.0,28.0,7.0,0.0
2025-07-28 04:08:00,0.0,0.0,0.0,4.0,28.0,7.0,0.0
2025-07-28 04:08:00,0.0,0.0,0.0,4.0,28.0,7.0,0.0
2025-07-28 06:40:00,0.0,0.0,0.0,6.0,28.0,7.0,0.0
2025-07-28 06:40:00,0.0,0.0,0.0,6.0,28.0,7.0,0.0
2025-07-28 09:32:00,0.0,0.0,0.0,9.0,28.0,7.0,0.0
2025-07-28 09:32:00,0.0,0.0,0.0,9.0,28.0,7.0,0.0
2025-07-29 12:39:00,0.0,0.0,0.0,12.0,29.0,7.0,0.0
2025-07-29 12:54:00,0.0,0.0,0.0,12.0,29.0,7.0,0.0
2025-07-29 15:29:00,0.0,0.0,0.0,15.0,29.0,7.0,0.0
2025-07-29 16:02:00,0.0,0.0,0.0,16.0,29.0,7.0,0.0
2025-07-29 16:02:00,0.0,0.0,0.0,16.0,29.0,7.0,0.0
2025-07-29 18:38:00,0.0,0.0,0.0,18.0,29.0,7.0,0.0
2025-07-29 21:25:00,0.0,0.0,0.0,21.0,29.0,7.0,0.0
2025-07-29 02:20:00,0.0,0.0,0.0,2.0,29.0,7.0,0.0
2025-07-29 02:20:00,0.0,0.0,0.0,2.0,29.0,7.0,0.0
2025-07-29 04:10:00,0.0,0.0,0.0,4.0,29.0,7.0,0.0
2025-07-29 04:10:00,0.0,0.0,0.0,4.0,29.0,7.0,0.0
2025-07-29 06:38:00,0.0,0.0,0.0,6.0,29.0,7.0,0.0
2025-07-29 06:38:00,0.0,0.0,0.0,6.0,29.0,7.0,0.0
2025-07-29 09:32:00,0.0,0.0,0.0,9.0,29.0,7.0,0.0
2025-07-29 09:32:00,0.0,0.0,0.0,9.0,29.0,7.0,0.0
2025-07-03 17:27:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:27:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:40:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:40:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:45:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:45:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:51:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:51:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:59:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:59:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:59:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 17:59:00,0.0,0.0,0.0,17.0,3.0,7.0,0.0
2025-07-03 18:01:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:01:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:04:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:04:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:04:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:04:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:05:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:05:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:06:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:06:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:07:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-03 18:07:00,0.0,0.0,0.0,18.0,3.0,7.0,0.0
2025-07-30 12:54:00,0.0,0.0,0.0,12.0,30.0,7.0,0.0
2025-07-30 15:28:00,0.0,0.0,0.0,15.0,30.0,7.0,0.0
2025-07-30 18:37:00,0.0,0.0,0.0,18.0,30.0,7.0,0.0
2025-07-30 01:58:00,0.0,0.0,0.0,1.0,30.0,7.0,0.0
2025-07-30 21:24:00,0.0,0.0,0.0,21.0,30.0,7.0,0.0
2025-07-30 02:05:00,0.0,0.0,0.0,2.0,30.0,7.0,0.0
2025-07-30 04:06:00,0.0,0.0,0.0,4.0,30.0,7.0,0.0
2025-07-30 06:39:00,0.0,0.0,0.0,6.0,30.0,7.0,0.0
2025-07-30 09:33:00,0.0,0.0,0.0,9.0,30.0,7.0,0.0
2025-07-31 12:53:00,0.0,0.0,0.0,12.0,31.0,7.0,0.0
2025-07-31 15:02:00,0.0,0.0,0.0,15.0,31.0,7.0,0.0
2025-07-31 15:27:00,0.0,0.0,0.0,15.0,31.0,7.0,0.0
2025-07-31 18:38:00,0.0,0.0,0.0,18.0,31.0,7.0,0.0
2025-07-31 21:24:00,0.0,0.0,0.0,21.0,31.0,7.0,0.0
2025-07-31 02:04:00,0.0,0.0,0.0,2.0,31.0,7.0,0.0
2025-07-31 04:05:00,0.0,0.0,0.0,4.0,31.0,7.0,0.0
2025-07-31 06:37:00,0.0,0.0,0.0,6.0,31.0,7.0,0.0
2025-07-31 09:31:00,0.0,0.0,0.0,9.0,31.0,7.0,0.0
2025-07-04 14:33:00,0.0,0.0,0.0,14.0,4.0,7.0,0.0
2025-07-04 14:33:00,0.0,0.0,0.0,14.0,4.0,7.0,0.0
2025-07-05 06:33:00,0.0,0.0,0.0,6.0,5.0,7.0,0.0
2025-07-05 06:33:00,0.0,0.0,0.0,6.0,5.0,7.0,0.0
2025-07-05 09:41:00,0.0,0.0,0.0,9.0,5.0,7.0,0.0
2025-07-05 09:41:00,0.0,0.0,0.0,9.0,5.0,7.0,0.0
2025-08-01 12:53:00,0.0,0.0,0.0,12.0,1.0,8.0,0.0
2025-08-01 15:27:00,0.0,0.0,0.0,15.0,1.0,8.0,0.0
2025-08-01 18:36:00,0.0,0.0,0.0,18.0,1.0,8.0,0.0
2025-08-01 21:24:00,0.0,0.0,0.0,21.0,1.0,8.0,0.0
2025-08-01 02:21:00,0.0,0.0,0.0,2.0,1.0,8.0,0.0
2025-08-01 04:16:00,0.0,0.0,0.0,4.0,1.0,8.0,0.0
2025-08-01 06:41:00,0.0,0.0,0.0,6.0,1.0,8.0,0.0
2025-08-01 09:31:00,0.0,0.0,0.0,9.0,1.0,8.0,0.0
2025-08-02 12:47:00,0.0,0.0,0.0,12.0,2.0,8.0,0.0
2025-08-02 15:24:00,0.0,0.0,0.0,15.0,2.0,8.0,0.0
2025-08-02 18:34:00,0.0,0.0,0.0,18.0,2.0,8.0,0.0
2025-08-02 01:59:00,0.0,0.0,0.0,1.0,2.0,8.0,0.0
2025-08-02 21:22:00,0.0,0.0,0.0,21.0,2.0,8.0,0.0
2025-08-02 03:58:00,0.0,0.0,0.0,3.0,2.0,8.0,0.0
2025-08-02 06:34:00,0.0,0.0,0.0,6.0,2.0,8.0,0.0
2025-08-02 09:27:00,0.0,0.0,0.0,9.0,2.0,8.0,0.0
2025-08-03 12:52:00,0.0,0.0,0.0,12.0,3.0,8.0,0.0
2025-08-03 15:25:00,0.0,0.0,0.0,15.0,3.0,8.0,0.0
2025-08-03 18:34:00,0.0,0.0,0.0,18.0,3.0,8.0,0.0
2025-08-03 21:23:00,0.0,0.0,0.0,21.0,3.0,8.0,0.0
2025-08-03 02:13:00,0.0,0.0,0.0,2.0,3.0,8.0,0.0
2025-08-03 04:12:00,0.0,0.0,0.0,4.0,3.0,8.0,0.0
2025-08-03 06:34:00,0.0,0.0,0.0,6.0,3.0,8.0,0.0
2025-08-03 09:25:00,0.0,0.0,0.0,9.0,3.0,8.0,0.0
2025-08-04 12:55:00,0.0,0.0,0.0,12.0,4.0,8.0,0.0
2025-08-04 15:29:00,0.0,0.0,0.0,15.0,4.0,8.0,0.0
2025-08-04 18:38:00,0.0,0.0,0.0,18.0,4.0,8.0,0.0
2025-08-04 21:25:00,0.0,0.0,0.0,21.0,4.0,8.0,0.0
2025-08-04 02:13:00,0.0,0.0,0.0,2.0,4.0,8.0,0.0
2025-08-04 04:17:00,0.0,0.0,0.0,4.0,4.0,8.0,0.0
2025-08-04 06:43:00,0.0,0.0,0.0,6.0,4.0,8.0,0.0
2025-08-04 09:37:00,0.0,0.0,0.0,9.0,4.0,8.0,0.0
2025-08-05 12:55:00,0.0,0.0,0.0,12.0,5.0,8.0,0.0
2025-08-05 15:30:00,0.0,0.0,0.0,15.0,5.0,8.0,0.0
2025-08-05 18:39:00,0.0,0.0,0.0,18.0,5.0,8.0,0.0
2025-08-05 21:24:00,0.0,0.0,0.0,21.0,5.0,8.0,0.0
2025-08-05 02:08:00,0.0,0.0,0.0,2.0,5.0,8.0,0.0
2025-08-05 04:10:00,0.0,0.0,0.0,4.0,5.0,8.0,0.0
2025-08-05 06:39:00,0.0,0.0,0.0,6.0,5.0,8.0,0.0
2025-08-05 09:32:00,0.0,0.0,0.0,9.0,5.0,8.0,0.0
2025-08-06 12:54:00,0.0,0.0,0.0,12.0,6.0,8.0,0.0
2025-08-06 15:29:00,0.0,0.0,0.0,15.0,6.0,8.0,0.0
2025-08-06 18:36:00,0.0,0.0,0.0,18.0,6.0,8.0,0.0
2025-08-06 21:22:00,0.0,0.0,0.0,21.0,6.0,8.0,0.0
2025-08-06 02:05:00,0.0,0.0,0.0,2.0,6.0,8.0,0.0
2025-08-06 04:07:00,0.0,0.0,0.0,4.0,6.0,8.0,0.0
2025-08-06 06:39:00,0.0,0.0,0.0,6.0,6.0,8.0,0.0
2025-08-06 09:33:00,0.0,0.0,0.0,9.0,6.0,8.0,0.0
2025-08-07 12:54:00,0.0,0.0,0.0,12.0,7.0,8.0,0.0
2025-08-07 15:28:00,0.0,0.0,0.0,15.0,7.0,8.0,0.0
2025-08-07 18:38:00,0.0,0.0,0.0,18.0,7.0,8.0,0.0
2025-08-07 20:02:00,0.0,0.0,0.0,20.0,7.0,8.0,0.0
2025-08-07 02:06:00,0.0,0.0,0.0,2.0,7.0,8.0,0.0
2025-08-07 04:07:00,0.0,0.0,0.0,4.0,7.0,8.0,0.0
2025-08-07 06:39:00,0.0,0.0,0.0,6.0,7.0,8.0,0.0
2025-08-07 09:31:00,0.0,0.0,0.0,9.0,7.0,8.0,0.0
2025-08-08 01:50:00,0.0,0.0,0.0,1.0,8.0,8.0,0.0
2025-08-08 02:01:00,0.0,0.0,0.0,2.0,8.0,8.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
